File_Name,File_Path,Exact_Matches,Fuzzy_Matches,Missing_Items,Total_Issues
"ATHLETES HQ SYSTEMS, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ATHLETES HQ SYSTEMS, INC._2024.json",21,2,0,3
"ATHLETIC REPUBLIC, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ATHLETIC REPUBLIC, INC._2024.json",23,0,0,1
"ATOMIUM, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ATOMIUM, INC._2024.json",23,0,0,0
"ATP FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\ATP FRANCHISING, LLC_2024.json",6,17,0,25
AUGMENT INC._2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AUGMENT INC._2024.json,22,1,0,5
AUNTIE ANNE'S FRANCHISOR SPV LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AUNTIE ANNE'S FRANCHISOR SPV LLC_2024.json,22,1,0,1
"AURELIO'S IS PIZZA FRANCHISE, LTD._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AURELIO'S IS PIZZA FRANCHISE, LTD._2024.json",21,2,0,3
AUSSIE PET MOBILE INC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AUSSIE PET MOBILE INC_2024.json,23,0,0,0
"AUTO SELECT, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AUTO SELECT, INC._2024.json",18,5,0,7
"AUTO-LAB FRANCHISING, LLC_2023.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AUTO-LAB FRANCHISING, LLC_2023.json",23,0,0,0
"AVIS RENT A CAR SYSTEM, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\AVIS RENT A CAR SYSTEM, LLC_2024.json",22,1,0,4
"B & P BURKE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\B & P BURKE, LLC_2024.json",23,0,0,0
B3 FRANCHISING LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\B3 FRANCHISING LLC_2024.json,23,0,0,0
BAB SYSTEMS INC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAB SYSTEMS INC_2024.json,18,5,0,6
"BAB SYSTEMS, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAB SYSTEMS, INC._2024.json",23,0,0,0
"BACK NINE GOLF GROUP, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BACK NINE GOLF GROUP, LLC_2024.json",23,0,0,0
"BAM FRANCHISING, INC._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAM FRANCHISING, INC._2024.json",23,0,0,0
"BAMBU FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAMBU FRANCHISING, LLC_2024.json",23,0,0,0
BANG COOKIES FRANCHISE LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BANG COOKIES FRANCHISE LLC_2024.json,23,0,0,0
BAR-B-CLEAN FRANCHISING INC._2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAR-B-CLEAN FRANCHISING INC._2024.json,22,1,0,2
"BARBERITOS FRANCHISING CO., LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BARBERITOS FRANCHISING CO., LLC_2024.json",22,1,0,2
"BARK BUSTERS NORTH AMERICA, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BARK BUSTERS NORTH AMERICA, LLC_2024.json",23,0,0,0
"BARKLEY VENTURES FRANCHISING, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BARKLEY VENTURES FRANCHISING, LLC_2024.json",22,1,0,3
BARREL HOUSE ENTERPRISES LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BARREL HOUSE ENTERPRISES LLC_2024.json,22,1,0,2
BASECAMP FITNESS FRANCHISOR LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BASECAMP FITNESS FRANCHISOR LLC_2024.json,22,1,0,2
BASKIN ROBBINS FRANCHISING LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BASKIN ROBBINS FRANCHISING LLC_2024.json,20,3,0,7
"BATTERIES PLUS, L.L.C._2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BATTERIES PLUS, L.L.C._2024.json",23,0,0,0
"BAYA BAR FRANCHISE SYSTEMS, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAYA BAR FRANCHISE SYSTEMS, LLC_2024.json",22,1,0,3
"BAYMONT FRANCHISE SYSTEMS, INC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BAYMONT FRANCHISE SYSTEMS, INC_2024.json",23,0,0,0
"BB FRANCHISE, LLC_2024.json","C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BB FRANCHISE, LLC_2024.json",23,0,0,0
BB FRANCHISING LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BB FRANCHISING LLC_2024.json,22,1,0,1
BB FRANCHISOR LLC_2024.json,C:\Projects\NewFranchiseData_Windows\FinalFranchiseData_Windows\data\processed_data\json_documents\BB FRANCHISOR LLC_2024.json,23,0,0,0
